position,image_path,candidate_id,ticker,session_date,visible_maxpush_pct,pm_open_to_momentum_trigger_pct,pm_open_to_scanner_pct,pm_open_to_premarket_extension_high_pct,das_state,first_dip_depth_pct,first_rebreak_type,first_rebreak_ts_et
218,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0218_DOMH_2025-02-11_push40.07_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:DOMH:2025-02-11T14:00:00+00:00,DOMH,2025-02-11,40.0651,53.74592833876222,31.2704,75.4071661237785,rebreak_confirmed,10.3488,flat_shelf_break,2025-02-11 09:06:00 EST
219,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0219_WINT_2025-07-14_push40.00_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:WINT:2025-07-14T08:31:00+00:00,WINT,2025-07-14,40.0,51.249999999999986,17.5,127.49999999999999,rebreak_confirmed,24.1071,vwap_reclaim_rebreak,2025-07-14 04:45:00 EDT
220,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0220_PMAX_2025-04-03_push39.34_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:PMAX:2025-04-03T08:55:00+00:00,PMAX,2025-04-03,39.3443,,6.5574,39.34426229508197,rebreak_confirmed,14.1176,multi_candle_flag_break,2025-04-03 05:09:00 EDT
221,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0221_AGRI_2025-09-22_push39.28_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:AGRI:2025-09-22T08:04:00+00:00,AGRI,2025-09-22,39.2758,57.938718662952645,13.3705,216.43454038997217,rebreak_confirmed,20.0,single_candle_rebreak,2025-09-22 04:06:00 EDT
222,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0222_IMRX_2024-10-15_push39.25_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:IMRX:2024-10-15T12:17:00+00:00,IMRX,2024-10-15,39.2473,,35.9946,42.47311827956988,rebreak_confirmed,10.0386,vwap_reclaim_rebreak,2024-10-15 08:42:00 EDT
223,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0223_RSLS_2025-05-02_push39.21_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:RSLS:2025-05-02T12:38:00+00:00,RSLS,2025-05-02,39.2057,52.28426395939088,25.2016,83.54732756046583,rebreak_confirmed,16.7739,single_candle_rebreak,2025-05-02 08:40:00 EDT
224,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0224_SMFL_2024-09-12_push39.17_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:SMFL:2024-09-12T08:01:00+00:00,SMFL,2024-09-12,39.1667,50.000000000000014,23.3333,60.83333333333334,rebreak_confirmed,13.7725,last_red_high_break,2024-09-12 04:04:00 EDT
225,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0225_CSAI_2025-10-15_push39.10_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:CSAI:2025-10-15T13:22:00+00:00,CSAI,2025-10-15,39.0977,,23.3083,39.097744360902254,rebreak_confirmed,13.5135,single_candle_rebreak,2025-10-15 09:25:00 EDT
226,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0226_MNTS_2026-01-05_push38.98_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:MNTS:2026-01-05T13:31:00+00:00,MNTS,2026-01-05,38.9831,53.15870570107857,31.7411,55.62403697996917,rebreak_confirmed,7.9823,multi_candle_flag_break,2026-01-05 08:35:00 EST
227,C:\TSIS_Data\00_CTO\13_TRADING_SYSTEMS\03_STRATEGY_LIBRARY\LONG\DAS\runs\das_scanner_appearance_20260628T114046Z\chart_exports\event_day_premarket_detail_only\20260628T183512Z\images\0227_APM_2024-12-31_push38.91_rebreak_03_event_day_premarket_detail.png,das_scanner_appearance:APM:2024-12-31T09:16:00+00:00,APM,2024-12-31,38.9068,53.054662379421224,-3.8585,116.39871382636657,rebreak_confirmed,12.037,single_candle_rebreak,2024-12-31 07:12:00 EST
