ticker,ts_utc,date,year,month,o,h,l,c,v,vw,n,t,run_id,market_date,source
SRXH,2026-07-08T20:02:00Z,2026-07-08,2026,7,2.165,2.17,2.03,2.0999,203580,2.118916789959721,1146,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T20:03:00Z,2026-07-08,2026,7,2.09,2.12,2.04,2.07,171146,2.07965611875241,794,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T20:04:00Z,2026-07-08,2026,7,2.07,2.08,2.015,2.06,100959,2.0441872066878632,581,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T20:05:00Z,2026-07-08,2026,7,2.0499,2.05,1.97,2.0199,115791,2.0044213626274927,615,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T20:06:00Z,2026-07-08,2026,7,2.0102,2.06,2.01,2.015,82099,2.0386019768815697,376,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
SRXH,2026-07-08T20:07:00Z,2026-07-08,2026,7,2.0198,2.03,2.0102,2.02,4765,2.017641573976915,16,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T19:40:00Z,2026-07-08,2026,7,5.56,5.56,5.56,5.56,3360,5.56,30,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T19:45:00Z,2026-07-08,2026,7,5.6,6.0,5.45,5.56,264365,5.616914363096477,1357,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T19:46:00Z,2026-07-08,2026,7,5.48,5.6,5.3001,5.38,458320,5.4591460200296735,3397,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T19:47:00Z,2026-07-08,2026,7,5.35,5.41,5.27,5.349,217146,5.339524338924043,1987,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T19:48:00Z,2026-07-08,2026,7,5.34,5.36,5.28,5.345,223267,5.320625118266471,1331,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T19:49:00Z,2026-07-08,2026,7,5.33,5.36,4.87,4.87,579590,5.089836952224848,3269,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T19:50:00Z,2026-07-08,2026,7,4.87,4.87,4.87,4.87,6086,4.87,46,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T20:00:00Z,2026-07-08,2026,7,4.87,5.0995,4.87,4.95,203979,4.9929358693787105,1072,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T20:01:00Z,2026-07-08,2026,7,4.9541,4.99,4.8,4.81,150750,4.880180934660033,941,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T20:02:00Z,2026-07-08,2026,7,4.81,4.86,4.75,4.81,141137,4.798449580195129,1021,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T20:03:00Z,2026-07-08,2026,7,4.8115,4.86,4.33,4.74,67776,4.783935303057129,654,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T20:04:00Z,2026-07-08,2026,7,4.62,5.1,4.62,4.85,87313,4.830790499696494,694,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T20:05:00Z,2026-07-08,2026,7,4.8232,4.85,4.7715,4.83,27794,4.817417683672736,229,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T20:06:00Z,2026-07-08,2026,7,4.8469,4.8896,4.83,4.8526,23888,4.861518230910916,128,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
TVRD,2026-07-08T20:07:00Z,2026-07-08,2026,7,4.86,4.88,4.85,4.85,3562,4.86139028635598,21,,das_cmdapi_live_20260708T193719Z,2026-07-08,das_tms_reconstructed_1m
