0,1,2,3,4
,"Lopez de Prado,  Marcos; Rebonato, Riccardo",Kinetic Component Analysis,"Journal of Investing, 25(3), pp. 142-154. Fall 2016.","We introduce Kinetic Component Analysis (KCA), a  state-space application that extracts the signal from a series of noisy  measurements by applying a Kalman Filter on a Taylor expansion of a  stochastic process. We show that KCA presents several advantages compared to  other popular noise-reduction methods such as Fast Fourier Transform (FFT) or  Locally Weighted Scatterplot Smoothing (LOWESS)."
,"Lopez de Prado,  Marcos",Building Diversified Portfolios that Outperform Out-Of-Sample,"Journal of Portfolio Management, 42(4), pp. 59-69. Summer 2016.","HRP portfolios address three major concerns of quadratic optimizers in general and Markowitz’s CLA in particular: Instability, concentration and underperformance. Monte Carlo experiments show that HRP delivers lower out-of-sample variance than CLA, even though minimum-variance is CLA’s optimization objective. HRP also produces less risky portfolios out-of-sample compared to traditional risk parity methods."
,"Lopez de Prado, Marcos",Algorithmic and High Frequency Trading,"Quantitative Finance, 16(8), pp. 1175-1176, 2016.",A review of the monograph recently published by Cambridge University Press.
,"Easley, David;  Lopez de Prado, Marcos;  O'Hara,  Maureen",Discerning Information From Trade Data,"Journal of Financial Economics, 120(2), pp. 269-286. May 2016.","We examine the accuracy of three methods for classifying trade data: Bulk Volume Classification (BVC), Tick Rule and Aggregated Tick Rule. We develop a Bayesian model of inferring information from trade executions, and show that BVC has the highest explanatory power over the bid-ask spread."
,"Bailey, David H.; Borwein, Jon M.;  Salehipour, Amir; Lopez de Prado,  Marcos; Zhu, Jim",Backtest Overfitting in Financial Markets,"Automated Trader, Issue 39. Spring 2016.","We introduce two online backtest overfitting tools: BODT simulates the overfitting of seasonal strategies (typical of technical analysis), and TMST simulates the overfitting of econometric strategies (typical of academic journals). We show that econometric methods lend themselves to extreme levels of overfitting, casting doubt on most investment strategies published in academic journals."
,"Bailey, David H.;  Lopez de Prado,  Marcos","Stop-Outs Under Serial Correlation and ""The Triple Penance Rule""","Journal of Risk, 18(2), pp. 61-93. Fall 2015.","We develop a framework for informing the  decision of stopping a portfolio manager or investment strategy once it has  reached a loss or time under water limit for a certain confidence level. Under standard portfolio theory assumptions, we show that it takes three times longer to recover from the expected maximum drawdown than the time it takes to produce it, with the same confidence level. Mathematical Appendices  available here."
,"Lopez de Prado,  Marcos",Recent Trends in Empirical Finance,"Journal of Portfolio Management, 42(1), pp. 29-33. Fall 2015.","Financial economics is a surprisingly prolific, topic redundant, asocial field, where most papers go largely ignored. Author collaboration improves scientific output, and yet financial economics seems to be one of the least cooperative empirical fields. If these trends continue, financial economics may be in the path to become a pathological science, a collection of “cold fusion” claims."
,"Easley, David;  Lopez de Prado, Marcos;  O'Hara,  Maureen",Optimal Execution  Horizon,"Mathematical Finance, 25(3), pp. 640-672. July 2015.","Execution traders know that market impact greatly depends  on whether their orders lean with or against the market. And yet, the  literature on optimal execution strategies rarely incorporates order  imbalance in the modeling of transaction costs. We introduce the OEH model,  which considers this fact when determining the optimal trading horizon for an  order, an input required by many sophisticated execution strategies."
,"Lopez de Prado,  Marcos",The Future of Empirical Finance,"Journal of Portfolio Management, 41(4), pp. 140-144. Summer 2015.","Empirical Finance is in crisis: Our most important discovery tool is historical simulation, and yet, most backtests and time series analyses published in journals are flawed. The problem is well-known to professional organizations of Statisticians and Mathematicians, who have publicly criticized the misuse of mathematical tools among Finance researchers. In this note I point to three problems and propose four practical solutions. An interview on this research appeared in  IIJ's Practical Applications (Winter 2016)."
,"Lopez de Prado, Marcos",Quantitative Meta-Strategies,"Practical Applications, Institutional Investor Journals, 2(3), pp. 1-3, Winter 2014.","Quantitative Meta-Strategies (QMS) are quantitative strategies designed to manage investment strategies. As a field, QMS can be defined as the mathematical study of the decisions made by the supervisor of a team of investment managers, regardless of whether their investment style is systematic or discretionary."
,"Bailey, David H.; Borwein,  Jon M.; Lopez de Prado, Marcos; Zhu, Jim",Pseudo-Mathematics  and Financial Charlatanism: The Effects of Backtest Overfitting on  Out-Of-Sample Performance,"Notices of the  American Mathematical Society, 61(5), pp. 458-471. May 2014.","We prove that high simulated performance is easily  achievable after backtesting a relatively small number of alternative  strategy configurations, a practice we denote “backtest overfitting”. Because  financial analysts rarely report the number of configurations tried for a  given backtest, investors cannot evaluate the degree of overfitting in most  investment proposals. This is one of the first Mathematical Finance papers  published in the Notices of the AMS, the official membership journal of  the American Mathematical Society."
,"Lopez de Prado, Marcos;  Foreman, Matthew",A  Mixture of Gaussians Approach to Mathematical Portfolio Oversight: The EF3M  Algorithm,"Quantitative Finance, 14(5), pp. 913-930. 2014.","We solve the ""Nonic Polynomial problem"" posed by Karl Pearson in the 1894 edition of the Philosophical Transactions of the Royal Society.  We apply quantitative methodologies originated in the Mathematical Theory of  Evolution to model the dynamics of investment styles within a fund."
