ticker,dataset,http_status,msg,rows_saved,pages,dropped_mismatch,dropped_missing_ticker,out_file,ts_utc
BCPC,ratios,200,ok | dropped_mismatch=5197 dropped_missing_ticker=0,2,6,5197,0,D:\financial\ratios\ticker=BCPC\ratios_BCPC.parquet,2026-03-08T13:39:11.174470+00:00
BDN,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=BDN\ratios_BDN.parquet,2026-03-08T13:39:11.238529+00:00
BIOS,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=BIOS\ratios_BIOS.parquet,2026-03-08T13:39:11.325280+00:00
BIO,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=BIO\ratios_BIO.parquet,2026-03-08T13:39:11.340555+00:00
BIO.B,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=BIO.B\ratios_BIO.B.parquet,2026-03-08T13:39:11.349124+00:00
BLK,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=BLK\ratios_BLK.parquet,2026-03-08T13:39:11.371048+00:00
BKR,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=BKR\ratios_BKR.parquet,2026-03-08T13:39:11.386153+00:00
BMR,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=BMR\ratios_BMR.parquet,2026-03-08T13:39:11.471050+00:00
BRPM,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=BRPM\ratios_BRPM.parquet,2026-03-08T13:39:12.427053+00:00
BW,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=BW\ratios_BW.parquet,2026-03-08T13:39:12.431876+00:00
BRAC,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=BRAC\ratios_BRAC.parquet,2026-03-08T13:39:12.435516+00:00
BWC,ratios,200,ok | dropped_mismatch=5199 dropped_missing_ticker=0,0,6,5199,0,D:\financial\ratios\ticker=BWC\ratios_BWC.parquet,2026-03-08T13:39:12.452802+00:00
CAI,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=CAI\ratios_CAI.parquet,2026-03-08T13:39:12.501637+00:00
CAMP,ratios,200,ok | dropped_mismatch=5198 dropped_missing_ticker=0,1,6,5198,0,D:\financial\ratios\ticker=CAMP\ratios_CAMP.parquet,2026-03-08T13:39:12.546552+00:00
