ticker,date,total_volume,short_volume,exempt_volume,non_exempt_volume,short_volume_ratio,nyse_short_volume,nyse_short_volume_exempt,nasdaq_carteret_short_volume,nasdaq_carteret_short_volume_exempt,nasdaq_chicago_short_volume,nasdaq_chicago_short_volume_exempt,adf_short_volume,adf_short_volume_exempt,orf_short_volume,orf_short_volume_exempt
CPS,2018-08-06,34356.0,17566.0,0.0,17566.0,51.13,598.0,0.0,7990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-06,34356.0,17566.0,0.0,17566.0,51.13,809.0,0.0,16968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-06,34356.0,17566.0,0.0,17566.0,51.13,809.0,0.0,7990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-06,19095.0,8799.0,0.0,8799.0,46.08,598.0,0.0,16968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-06,19095.0,8799.0,0.0,8799.0,46.08,598.0,0.0,7990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-06,19095.0,8799.0,0.0,8799.0,46.08,809.0,0.0,16968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-06,19095.0,8799.0,0.0,8799.0,46.08,809.0,0.0,7990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-07,95900.0,33373.0,0.0,33373.0,34.8,4578.0,0.0,28795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-07,95900.0,33373.0,0.0,33373.0,34.8,4578.0,0.0,14277.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-07,95900.0,33373.0,0.0,33373.0,34.8,1553.0,0.0,28795.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPS,2018-08-07,95900.0,33373.0,0.0,33373.0,34.8,1553.0,0.0,14277.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0
