ticker,year_files,rows,split_non1_rows,div_non1_rows,adj_non1_rows,activation_profile
FSB,11,2498,0,2433,2433,dividend_only
FSBC,13,2059,0,2035,2035,dividend_only
FSI,22,5270,0,5069,5069,dividend_only
FSP,22,5223,0,5193,5193,dividend_only
FSTR,22,5326,0,2939,2939,dividend_only
FTPA,5,353,0,348,348,dividend_only
FUNC,22,5231,0,5231,5231,dividend_only
FUSB,11,2245,0,2245,2245,dividend_only
FVR,3,357,0,357,357,dividend_only
FWDI,11,1376,0,1251,1251,dividend_only
FXNC,8,1537,0,1531,1531,dividend_only
GAIA,22,5326,0,1496,1496,dividend_only
GAIN,22,5208,0,5208,5208,dividend_only
GAINI,3,303,0,303,303,dividend_only
GAINL,7,1380,0,1337,1337,dividend_only
GAINN,10,1929,0,1929,1929,dividend_only
GAINZ,6,1023,0,1023,1023,dividend_only
GASS,22,5135,0,852,852,dividend_only
GBL,18,4472,0,4453,4453,dividend_only
GBLI,17,3854,0,3854,3854,dividend_only
GCAP,11,2422,0,2394,2394,dividend_only
GCI,21,5253,0,3733,3733,dividend_only
GDEN,12,2663,0,2663,2663,dividend_only
GEG,15,3195,0,919,919,dividend_only
GEGGL,5,759,0,759,759,dividend_only
GENK,4,675,0,488,488,dividend_only
GFED,18,3452,0,3396,3396,dividend_only
GHIV,2,180,0,180,180,dividend_only
GHL,19,4761,0,4704,4704,dividend_only
GIFI,22,5294,0,3237,3237,dividend_only
GILT,21,4992,0,3697,3697,dividend_only
GIPR,6,1108,0,676,676,dividend_only
GIW,11,1626,0,1288,1288,dividend_only
GLBL,16,2887,0,2864,2864,dividend_only
GLBZ,22,3619,0,3245,3245,dividend_only
GLPW,7,1416,0,1152,1152,dividend_only
GMLP,11,2521,0,2472,2472,dividend_only
GNC,10,2326,0,1436,1436,dividend_only
GNE,16,3607,0,3594,3594,dividend_only
GNSS,12,2370,0,770,770,dividend_only
GOOD,22,5327,0,5327,5327,dividend_only
GORO,17,3903,0,3095,3095,dividend_only
GPMT,10,2187,0,2187,2187,dividend_only
GREEL,6,1085,0,1055,1055,dividend_only
GRNT,5,843,0,837,837,dividend_only
GROY,6,1255,0,573,573,dividend_only
GSB,14,3294,0,3111,3111,dividend_only
GSBC,22,5327,0,5327,5327,dividend_only
GSD,9,1025,0,731,731,dividend_only
GSM,18,4176,0,4176,4176,dividend_only
GTN,22,5327,0,5327,5327,dividend_only
GWGH,9,1771,0,858,858,dividend_only
GWRS,11,2478,0,2478,2478,dividend_only
GYRO,22,3525,0,2478,2478,dividend_only
HA,20,4960,0,3804,3804,dividend_only
HAYN,18,4451,0,4393,4393,dividend_only
HBB,10,2118,0,2113,2113,dividend_only
HBCP,19,4365,0,4346,4346,dividend_only
HBT,8,1608,0,1589,1589,dividend_only
HCHC,8,1693,0,509,509,dividend_only
HCKT,19,4553,0,4553,4553,dividend_only
HCR,5,1029,0,654,654,dividend_only
HFWA,22,5253,0,5226,5226,dividend_only
HGT,14,3436,0,3310,3310,dividend_only
HIHO,22,5108,0,4808,4808,dividend_only
HIT,11,2143,0,1697,1697,dividend_only
HMG,18,1920,0,1758,1758,dividend_only
HMLP,9,2048,0,2008,2008,dividend_only
HMNF,20,4449,0,4413,4413,dividend_only
HMPT,3,629,0,331,331,dividend_only
HNNAZ,6,612,0,612,612,dividend_only
HNRG,17,3972,0,2439,2439,dividend_only
HNVR,5,905,0,889,889,dividend_only
HOFT,22,5327,0,5327,5327,dividend_only
HONE,10,2349,0,2306,2306,dividend_only
HPK,7,1387,0,1321,1321,dividend_only
HQI,8,1598,0,1593,1593,dividend_only
HROWL,5,1112,0,1049,1049,dividend_only
HRTG,13,2964,0,2028,2028,dividend_only
HRZN,17,3860,0,3860,3860,dividend_only
HSHP,4,735,0,735,735,dividend_only
HSTM,22,5324,0,5324,5324,dividend_only
HTB,9,1882,0,1869,1869,dividend_only
HTBK,22,5323,0,5323,5323,dividend_only
HTCR,5,1020,0,940,940,dividend_only
HURC,22,5327,0,4840,4840,dividend_only
HVT,22,5327,0,5327,5327,dividend_only
HWAY,15,3119,0,3066,3066,dividend_only
HWCC,16,3776,0,2561,2561,dividend_only
HY,15,3376,0,3370,3370,dividend_only
HZAC,2,257,0,257,257,dividend_only
IBTA,5,761,0,193,193,dividend_only
ICBK,7,1678,0,1662,1662,dividend_only
ICMB,8,1636,0,1570,1570,dividend_only
IDR,7,1459,0,438,438,dividend_only
IFIN,6,1070,0,620,620,dividend_only
IG,20,4343,0,4343,4343,dividend_only
IHC,18,4284,0,4282,4282,dividend_only
IHT,22,3748,0,3720,3720,dividend_only
III,20,4787,0,4787,4787,dividend_only
ILPT,9,2047,0,2018,2018,dividend_only
IMBIL,3,439,0,360,360,dividend_only
IMMR,22,5327,0,5327,5327,dividend_only
IMPPP,6,922,0,922,922,dividend_only
INBKZ,8,1427,0,1412,1412,dividend_only
INDT,3,625,0,619,619,dividend_only
INN,16,3790,0,3775,3775,dividend_only
INTT,22,5222,0,1905,1905,dividend_only
