ticker,date,rows_for_key,excess_rows
CPS,2019-06-28,8,7
CPS,2019-07-01,16,15
CPS,2019-07-02,8,7
CPS,2019-07-03,8,7
CPS,2019-07-05,8,7
CPS,2019-07-08,8,7
CPS,2019-07-09,8,7
CPS,2019-07-10,8,7
CPS,2019-07-11,8,7
CPS,2019-07-12,8,7
CPS,2019-07-15,8,7
CPS,2019-07-16,8,7
CPS,2019-07-17,8,7
CPS,2019-07-18,8,7
CPS,2019-07-19,8,7
CPS,2019-07-22,8,7
CPS,2019-07-23,16,15
CPS,2019-07-24,8,7
CPS,2019-07-25,8,7
CPS,2019-07-26,8,7
CPS,2019-07-29,8,7
CPS,2019-07-30,8,7
CPS,2019-07-31,8,7
CPS,2019-08-01,16,15
CPS,2019-08-02,8,7
CPS,2019-08-05,8,7
CPS,2019-08-06,8,7
CPS,2019-08-07,8,7
CPS,2019-08-08,8,7
CPS,2019-08-09,8,7
CPS,2019-08-12,8,7
CPS,2019-08-13,8,7
CPS,2019-08-14,8,7
CPS,2019-08-15,8,7
CPS,2019-08-16,8,7
CPS,2019-08-19,8,7
CPS,2019-08-20,8,7
CPS,2019-08-21,8,7
CPS,2019-08-22,8,7
CPS,2019-08-23,8,7
CPS,2019-08-26,8,7
CPS,2019-08-27,8,7
CPS,2019-08-28,8,7
CPS,2019-08-29,16,15
CPS,2019-08-30,8,7
CPS,2019-09-03,8,7
CPS,2019-09-04,8,7
CPS,2019-09-05,8,7
CPS,2019-09-06,8,7
CPS,2019-09-09,4,3
CPS,2019-09-10,8,7
CPS,2019-09-11,8,7
CPS,2019-09-12,8,7
CPS,2019-09-13,4,3
CPS,2019-09-16,8,7
CPS,2019-09-17,8,7
CPS,2019-09-18,8,7
CPS,2019-09-19,8,7
CPS,2019-09-20,8,7
CPS,2019-09-23,8,7
CPS,2019-09-24,8,7
CPS,2019-09-25,8,7
CPS,2019-09-26,4,3
CPS,2019-09-27,8,7
CPS,2019-09-30,8,7
CPS,2019-10-01,8,7
CPS,2019-10-02,8,7
CPS,2019-10-03,8,7
CPS,2019-10-04,8,7
CPS,2019-10-07,16,15
CPS,2019-10-08,8,7
CPS,2019-10-09,8,7
CPS,2019-10-10,4,3
CPS,2019-10-11,8,7
CPS,2019-10-14,8,7
CPS,2019-10-15,8,7
CPS,2019-10-16,8,7
CPS,2019-10-17,8,7
CPS,2019-10-18,8,7
CPS,2019-10-21,8,7
CPS,2019-10-22,8,7
CPS,2019-10-23,8,7
CPS,2019-10-24,8,7
CPS,2019-10-25,8,7
CPS,2019-10-28,8,7
CPS,2019-10-29,8,7
CPS,2019-10-30,8,7
CPS,2019-10-31,8,7
CPS,2019-11-01,8,7
CPS,2019-11-04,8,7
CPS,2019-11-05,8,7
CPS,2019-11-06,8,7
CPS,2019-11-07,8,7
CPS,2019-11-08,8,7
CPS,2019-11-11,8,7
CPS,2019-11-12,8,7
CPS,2019-11-13,8,7
CPS,2019-11-14,8,7
CPS,2019-11-15,8,7
CPS,2019-11-18,8,7
CPS,2019-11-19,8,7
CPS,2019-11-20,8,7
CPS,2019-11-21,16,15
CPS,2019-11-22,8,7
CPS,2019-11-25,8,7
CPS,2019-11-26,8,7
CPS,2019-11-27,8,7
CPS,2019-11-29,8,7
CPS,2019-12-02,8,7
CPS,2019-12-03,16,15
CPS,2019-12-04,8,7
CPS,2019-12-05,8,7
CPS,2019-12-06,8,7
CPS,2019-12-09,8,7
CPS,2019-12-10,8,7
CPS,2019-12-11,8,7
CPS,2019-12-12,8,7
CPS,2019-12-13,8,7
CPS,2019-12-16,8,7
CPS,2019-12-17,8,7
CPS,2019-12-18,8,7
CPS,2019-12-19,8,7
CPS,2019-12-20,8,7
CPS,2019-12-23,8,7
CPS,2019-12-24,8,7
CPS,2019-12-26,8,7
CPS,2019-12-27,8,7
CPS,2019-12-30,8,7
CPS,2019-12-31,8,7
CPS,2020-01-02,8,7
CPS,2020-01-03,8,7
CPS,2020-01-06,8,7
CPS,2020-01-07,8,7
CPS,2020-01-08,8,7
CPS,2020-01-09,8,7
CPS,2020-01-10,8,7
CPS,2020-01-13,8,7
CPS,2020-01-14,8,7
CPS,2020-01-15,8,7
CPS,2020-01-16,8,7
CPS,2020-01-17,8,7
CPS,2020-01-21,8,7
CPS,2020-01-22,8,7
CPS,2020-01-23,8,7
CPS,2020-01-24,8,7
CPS,2020-01-27,8,7
CPS,2020-01-28,8,7
CPS,2020-01-29,8,7
CPS,2020-01-30,8,7
CPS,2020-01-31,8,7
CPS,2020-02-03,8,7
CPS,2020-02-04,8,7
CPS,2020-02-05,8,7
CPS,2020-02-06,8,7
CPS,2020-02-07,16,15
CPS,2020-02-10,8,7
CPS,2020-02-11,8,7
CPS,2020-02-12,8,7
CPS,2020-02-13,8,7
CPS,2020-02-14,8,7
CPS,2020-02-18,8,7
CPS,2020-02-19,8,7
CPS,2020-02-20,8,7
CPS,2020-02-21,8,7
CPS,2020-02-24,16,15
CPS,2020-02-25,8,7
CPS,2020-02-26,8,7
CPS,2020-02-27,16,15
CPS,2020-02-28,8,7
CPS,2020-03-02,8,7
CPS,2020-03-03,8,7
CPS,2020-03-04,16,15
CPS,2020-03-05,8,7
CPS,2020-03-06,8,7
CPS,2020-03-09,8,7
CPS,2020-03-10,8,7
CPS,2020-03-11,8,7
CPS,2020-03-12,8,7
CPS,2020-03-13,8,7
CPS,2020-03-16,8,7
CPS,2020-03-17,8,7
CPS,2020-03-18,8,7
CPS,2020-03-19,16,15
CPS,2020-03-20,16,15
CPS,2020-03-23,16,15
CPS,2020-03-24,8,7
CPS,2020-03-25,16,15
CPS,2020-03-26,8,7
CPS,2020-03-27,8,7
CPS,2020-03-30,8,7
CPS,2020-03-31,8,7
CPS,2020-04-01,8,7
CPS,2020-04-02,8,7
CPS,2020-04-03,16,15
CPS,2020-04-06,8,7
CPS,2020-04-07,8,7
CPS,2020-04-08,8,7
CPS,2020-04-09,8,7
CPS,2020-04-13,8,7
CPS,2020-04-14,8,7
CPS,2020-04-15,8,7
CPS,2020-04-16,8,7
CPS,2020-04-17,8,7
CPS,2020-04-20,8,7
CPS,2020-04-21,8,7
CPS,2020-04-22,8,7
CPS,2020-04-23,8,7
CPS,2020-04-24,8,7
CPS,2020-04-27,8,7
CPS,2020-04-28,8,7
