run_id,market_date,ticker,symbol,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,conditions,indicators,participant_timestamp,sequence_number,timestamp,trf_timestamp,tape,source_time_et,observed_at_utc,last_price,session_volume,session_high,session_low,session_open,prev_close,today_close,vwap,trades_all_day,relative_volume,year,month,day,event_line_index,command,stage,raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,CPOP,CPOP,,0.07,56,,0.0699,2,,,,,2026-07-08T19:38:11Z,,Q,15:38:11,2026-07-08T19:38:13+00:00,0.06995,71643526,0.072,0.055,0.063,0.1019,0,0.062986,46338,128,2026,7,8,3,SB CPOP Lv1,screener_lv1,$Quote CPOP A:0.07 Asz:56 B:0.0699 Bsz:2 V:71643526 L:0.06995 Hi:0.072 Lo:0.055 op:0.063 ycl:0.1019 tcl:0 PE:Q VWAP:0.062986 tradesAllDay:46338 RVOL:128 T:15:38:11
das_cmdapi_live_20260708T193719Z,2026-07-08,CPOP,CPOP,,0.07,56,,0.0699,2,,,,,2026-07-08T19:38:11Z,,Q,15:38:11,2026-07-08T19:38:13+00:00,0.07,71644526,0.072,0.055,0.063,0.1019,0,0.062986,46339,128,2026,7,8,4,SB CPOP Lv1,screener_lv1,$Quote CPOP A:0.07 Asz:56 B:0.0699 Bsz:2 V:71644526 L:0.07 Hi:0.072 Lo:0.055 op:0.063 ycl:0.1019 tcl:0 PE:Q VWAP:0.062986 tradesAllDay:46339 RVOL:128 T:15:38:11
das_cmdapi_live_20260708T193719Z,2026-07-08,TQQQ,TQQQ,,72.46,1,,72.45,31,,,,,2026-07-08T19:38:14Z,,Q,15:38:14,2026-07-08T19:38:15+00:00,72.4587,60939687,72.68,69.57,70.795,72.23,0,71.178,408332,95,2026,7,8,0,SB TQQQ Lv1,screener_lv1,$Quote TQQQ A:72.46 Asz:1 B:72.45 Bsz:31 V:60939687 L:72.4587 Hi:72.68 Lo:69.57 op:70.795 ycl:72.23 tcl:0 PE:Q VWAP:71.178 tradesAllDay:408332 RVOL:95 T:15:38:14
das_cmdapi_live_20260708T193719Z,2026-07-08,TQQQ,TQQQ,,72.46,38,,72.45,1,,,,,2026-07-08T19:38:14Z,,Q,15:38:14,2026-07-08T19:38:15+00:00,72.45,60939939,72.68,69.57,70.795,72.23,0,71.178,408337,95,2026,7,8,2,SB TQQQ Lv1,screener_lv1,$Quote TQQQ A:72.46 Asz:38 B:72.45 Bsz:1 V:60939939 L:72.45 Hi:72.68 Lo:69.57 op:70.795 ycl:72.23 tcl:0 PE:Q VWAP:71.178 tradesAllDay:408337 RVOL:95 T:15:38:14
das_cmdapi_live_20260708T193719Z,2026-07-08,TQQQ,TQQQ,,72.45,14,,72.44,31,,,,,2026-07-08T19:38:14Z,,Q,15:38:14,2026-07-08T19:38:15+00:00,72.45,60939939,72.68,69.57,70.795,72.23,0,71.178,408337,95,2026,7,8,3,SB TQQQ Lv1,screener_lv1,$Quote TQQQ A:72.45 Asz:14 B:72.44 Bsz:31 V:60939939 L:72.45 Hi:72.68 Lo:69.57 op:70.795 ycl:72.23 tcl:0 PE:Q VWAP:71.178 tradesAllDay:408337 RVOL:95 T:15:38:14
das_cmdapi_live_20260708T193719Z,2026-07-08,TQQQ,TQQQ,,72.46,31,,72.45,2,,,,,2026-07-08T19:38:14Z,,Q,15:38:14,2026-07-08T19:38:15+00:00,72.45,60939943,72.68,69.57,70.795,72.23,0,71.178,408338,95,2026,7,8,4,SB TQQQ Lv1,screener_lv1,$Quote TQQQ A:72.46 Asz:31 B:72.45 Bsz:2 V:60939943 L:72.45 Hi:72.68 Lo:69.57 op:70.795 ycl:72.23 tcl:0 PE:Q VWAP:71.178 tradesAllDay:408338 RVOL:95 T:15:38:14
das_cmdapi_live_20260708T193719Z,2026-07-08,TQQQ,TQQQ,,72.46,9,,72.45,9,,,,,2026-07-08T19:38:15Z,,Q,15:38:15,2026-07-08T19:38:16+00:00,72.4501,60940239,72.68,69.57,70.795,72.23,0,71.178,408341,95,2026,7,8,0,UNSB TQQQ Lv1,screener_lv1,$Quote TQQQ A:72.46 Asz:9 B:72.45 Bsz:9 V:60940239 L:72.4501 Hi:72.68 Lo:69.57 op:70.795 ycl:72.23 tcl:0 PE:Q VWAP:71.178 tradesAllDay:408341 RVOL:95 T:15:38:15
das_cmdapi_live_20260708T193719Z,2026-07-08,SQQQ,SQQQ,,40.26,105,,40.25,117,,,,,2026-07-08T19:38:16Z,,Q,15:38:16,2026-07-08T19:38:18+00:00,40.25,58268542,41.855,40.1199,41.18,40.38,0,40.928,205327,99,2026,7,8,0,SB SQQQ Lv1,screener_lv1,$Quote SQQQ A:40.26 Asz:105 B:40.25 Bsz:117 V:58268542 L:40.25 Hi:41.855 Lo:40.1199 op:41.18 ycl:40.38 tcl:0 PE:Q VWAP:40.928 tradesAllDay:205327 RVOL:99 T:15:38:16
das_cmdapi_live_20260708T193719Z,2026-07-08,SQQQ,SQQQ,,40.26,133,,40.25,102,,,,,2026-07-08T19:38:17Z,,Q,15:38:17,2026-07-08T19:38:18+00:00,40.255,58269044,41.855,40.1199,41.18,40.38,0,40.928,205330,99,2026,7,8,2,SB SQQQ Lv1,screener_lv1,$Quote SQQQ A:40.26 Asz:133 B:40.25 Bsz:102 V:58269044 L:40.255 Hi:41.855 Lo:40.1199 op:41.18 ycl:40.38 tcl:0 PE:Q VWAP:40.928 tradesAllDay:205330 RVOL:99 T:15:38:17
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,,3.74,7,,3.69,3,,,,,2026-07-08T19:38:16Z,,Q,15:38:16,2026-07-08T19:38:20+00:00,3.71,55770341,4.39,3.14,3.475,3.0,0,3.8823,300253,266,2026,7,8,0,SB SKYQ Lv1,screener_lv1,$Quote SKYQ A:3.74 Asz:7 B:3.69 Bsz:3 V:55770341 L:3.71 Hi:4.39 Lo:3.14 op:3.475 ycl:3 tcl:0 PE:Q VWAP:3.8823 tradesAllDay:300253 RVOL:266 T:15:38:16
