run_id,market_date,ticker,symbol,limit_down,limit_up,observed_at_utc,event_line_index,command,stage,raw_line
das_cmdapi_live_20260708T193719Z,2026-07-08,LUCY,LUCY,0.65,1.51,2026-07-08T19:47:25+00:00,205,GET LDLU LUCY,candidate_static_query,$LDLU LUCY 0.65 1.51
das_cmdapi_live_20260708T193719Z,2026-07-08,ZCMD,ZCMD,1.59,3.72,2026-07-08T19:47:32+00:00,360,SB LUCY tms,candidate_subscribe,$LDLU ZCMD 1.59 3.72
das_cmdapi_live_20260708T193719Z,2026-07-08,JEM,JEM,0.7,1.62,2026-07-08T19:47:56+00:00,169,SB JEM Lv1,candidate_subscribe,$LDLU JEM 0.7 1.62
das_cmdapi_live_20260708T193719Z,2026-07-08,JEM,JEM,0.7,1.62,2026-07-08T19:48:01+00:00,115,GET LDLU JEM,candidate_static_query,$LDLU JEM 0.7 1.62
das_cmdapi_live_20260708T193719Z,2026-07-08,ZCMD,ZCMD,1.57,3.67,2026-07-08T19:48:03+00:00,64,GET SymStatus JEM,candidate_static_query,$LDLU ZCMD 1.57 3.67
das_cmdapi_live_20260708T193719Z,2026-07-08,TVRD,TVRD,4.91,6.01,2026-07-08T19:48:07+00:00,325,SB JEM tms,candidate_subscribe,$LDLU TVRD 4.91 6.01
das_cmdapi_live_20260708T193719Z,2026-07-08,NVVE,NVVE,7.77,9.49,2026-07-08T19:48:24+00:00,169,SB JEM MINCHART 2026/07/08-14:47 2026/07/08-15:47 1,candidate_chart_query,$LDLU NVVE 7.77 9.49
das_cmdapi_live_20260708T193719Z,2026-07-08,VANI,VANI,0.95,2.23,2026-07-08T19:48:24+00:00,430,SB JEM MINCHART 2026/07/08-14:47 2026/07/08-15:47 1,candidate_chart_query,$LDLU VANI 0.95 2.23
das_cmdapi_live_20260708T193719Z,2026-07-08,BBLG,BBLG,0.77,1.8,2026-07-08T19:48:34+00:00,146,SB BBLG Lv1,candidate_subscribe,$LDLU BBLG 0.77 1.8
das_cmdapi_live_20260708T193719Z,2026-07-08,BBLG,BBLG,0.77,1.8,2026-07-08T19:48:39+00:00,66,GET LDLU BBLG,candidate_static_query,$LDLU BBLG 0.77 1.8
das_cmdapi_live_20260708T193719Z,2026-07-08,BJDX,BJDX,0.78,1.81,2026-07-08T19:49:10+00:00,58,SB BJDX Lv1,candidate_subscribe,$LDLU BJDX 0.78 1.81
das_cmdapi_live_20260708T193719Z,2026-07-08,BJDX,BJDX,0.78,1.81,2026-07-08T19:49:14+00:00,11,GET LDLU BJDX,candidate_static_query,$LDLU BJDX 0.78 1.81
das_cmdapi_live_20260708T193719Z,2026-07-08,TVRD,TVRD,4.87,5.95,2026-07-08T19:49:41+00:00,566,SB BJDX MINCHART 2026/07/08-14:49 2026/07/08-15:49 1,candidate_chart_query,$LDLU TVRD 4.87 5.95
das_cmdapi_live_20260708T193719Z,2026-07-08,SDOT,SDOT,17.49,21.37,2026-07-08T19:49:57+00:00,1019,SB VMAR Lv1,candidate_subscribe,$LDLU SDOT 17.49 21.37
das_cmdapi_live_20260708T193719Z,2026-07-08,VMAR,VMAR,0.73,1.69,2026-07-08T19:49:57+00:00,1458,SB VMAR Lv1,candidate_subscribe,$LDLU VMAR 0.73 1.69
das_cmdapi_live_20260708T193719Z,2026-07-08,TVRD,TVRD,4.87,5.95,2026-07-08T19:50:04+00:00,474,GET SHORTINFO VMAR,candidate_static_query,$LDLU TVRD 4.87 5.95
das_cmdapi_live_20260708T193719Z,2026-07-08,BBLG,BBLG,0.79,1.83,2026-07-08T19:50:08+00:00,20,GET LDLU VMAR,candidate_static_query,$LDLU BBLG 0.79 1.83
das_cmdapi_live_20260708T193719Z,2026-07-08,VMAR,VMAR,0.73,1.69,2026-07-08T19:50:08+00:00,219,GET LDLU VMAR,candidate_static_query,$LDLU VMAR 0.73 1.69
das_cmdapi_live_20260708T193719Z,2026-07-08,ZCMD,ZCMD,1.56,3.63,2026-07-08T19:50:18+00:00,192,SB VMAR Lv2,candidate_subscribe,$LDLU ZCMD 1.56 3.63
das_cmdapi_live_20260708T193719Z,2026-07-08,SDOT,SDOT,17.68,21.6,2026-07-08T19:50:24+00:00,5,UNSB VMAR DAYCHART,candidate_chart_query,$LDLU SDOT 17.68 21.6
das_cmdapi_live_20260708T193719Z,2026-07-08,VTAK,VTAK,1.08,1.68,2026-07-08T19:50:37+00:00,19,GET LDLU VTAK,candidate_static_query,$LDLU VTAK 1.08 1.68
das_cmdapi_live_20260708T193719Z,2026-07-08,LHAI,LHAI,0.95,2.22,2026-07-08T19:51:09+00:00,90,GET LDLU SRXH,candidate_static_query,$LDLU LHAI 0.95 2.22
das_cmdapi_live_20260708T193719Z,2026-07-08,SRXH,SRXH,1.21,2.83,2026-07-08T19:51:09+00:00,132,GET LDLU SRXH,candidate_static_query,$LDLU SRXH 1.21 2.83
das_cmdapi_live_20260708T193719Z,2026-07-08,SDOT,SDOT,17.86,21.83,2026-07-08T19:52:08+00:00,26,SUBSCRIPTION_STREAM,streaming,$LDLU SDOT 17.86 21.83
das_cmdapi_live_20260708T193719Z,2026-07-08,SRXH,SRXH,1.22,2.86,2026-07-08T19:52:08+00:00,44,SUBSCRIPTION_STREAM,streaming,$LDLU SRXH 1.22 2.86
das_cmdapi_live_20260708T193719Z,2026-07-08,JEM,JEM,0.69,1.61,2026-07-08T19:52:15+00:00,17,SUBSCRIPTION_STREAM,streaming,$LDLU JEM 0.69 1.61
das_cmdapi_live_20260708T193719Z,2026-07-08,ZCMD,ZCMD,1.54,3.59,2026-07-08T19:52:17+00:00,11,SUBSCRIPTION_STREAM,streaming,$LDLU ZCMD 1.54 3.59
das_cmdapi_live_20260708T193719Z,2026-07-08,VTAK,VTAK,1.09,1.69,2026-07-08T19:52:58+00:00,19,SUBSCRIPTION_STREAM,streaming,$LDLU VTAK 1.09 1.69
das_cmdapi_live_20260708T193719Z,2026-07-08,CLRO,CLRO,9.05,11.06,2026-07-08T19:53:09+00:00,42,SUBSCRIPTION_STREAM,streaming,$LDLU CLRO 9.05 11.06
das_cmdapi_live_20260708T193719Z,2026-07-08,VEEE,VEEE,4.01,4.9,2026-07-08T19:53:21+00:00,10,SUBSCRIPTION_STREAM,streaming,$LDLU VEEE 4.01 4.9
das_cmdapi_live_20260708T193719Z,2026-07-08,SKYQ,SKYQ,2.97,4.45,2026-07-08T19:53:21+00:00,48,SUBSCRIPTION_STREAM,streaming,$LDLU SKYQ 2.97 4.45
das_cmdapi_live_20260708T193719Z,2026-07-08,LUCY,LUCY,0.64,1.49,2026-07-08T19:53:27+00:00,138,SUBSCRIPTION_STREAM,streaming,$LDLU LUCY 0.64 1.49
das_cmdapi_live_20260708T193719Z,2026-07-08,ZCMD,ZCMD,1.52,3.56,2026-07-08T19:53:29+00:00,10,SUBSCRIPTION_STREAM,streaming,$LDLU ZCMD 1.52 3.56
das_cmdapi_live_20260708T193719Z,2026-07-08,SDOT,SDOT,18.04,22.04,2026-07-08T19:53:36+00:00,74,SUBSCRIPTION_STREAM,streaming,$LDLU SDOT 18.04 22.04
