ticker,dividend_type,event_date,cash_amount,first_date,last_date,within_daily_window
SHIP,SC,2024-06-25,0.125,2008-10-15,2026-03-06,True
SHIP,SC,2024-03-22,0.075,2008-10-15,2026-03-06,True
SHIP,SC,2022-03-24,0.025,2008-10-15,2026-03-06,True
SIGA,SC,2026-04-07,0.6,2005-01-03,2026-03-06,False
SIGA,SC,2025-04-29,0.6,2005-01-03,2026-03-06,True
SIGA,SC,2024-03-25,0.6,2005-01-03,2026-03-06,True
SIGA,SC,2023-05-15,0.45,2005-01-03,2026-03-06,True
SIGA,SC,2022-05-16,0.45,2005-01-03,2026-03-06,True
SITC,SC,2025-12-15,1.0,2018-10-12,2026-03-06,True
SITC,SC,2025-10-31,1.0,2018-10-12,2026-03-06,True
SITC,SC,2025-08-15,3.25,2018-10-12,2026-03-06,True
SITC,SC,2025-06-30,1.5,2018-10-12,2026-03-06,True
SITC,SC,2023-12-26,0.16,2018-10-12,2026-03-06,True
SND,SC,2025-12-02,0.05,2005-01-03,2026-03-06,True
SNT,SC,2020-12-29,1.079,2005-01-03,2026-03-06,True
SSNT,SC,2023-08-17,0.2,2017-04-19,2024-06-05,True
SSSS,SC,2022-03-24,0.11,2019-08-01,2026-03-06,True
SSSS,SC,2020-12-29,0.22,2019-08-01,2026-03-06,True
SSSS,SC,2020-11-09,0.25,2019-08-01,2026-03-06,True
SSSS,SC,2020-10-02,0.25,2019-08-01,2026-03-06,True
SSSS,SC,2020-08-10,0.15,2019-08-01,2026-03-06,True
SSY,SC,2025-07-31,0.1,2005-01-03,2025-08-14,True
STRZ,SC,2006-05-09,0.25,2005-01-03,2026-03-06,True
SVA,SC,2025-07-08,55.0,2005-01-03,2019-02-22,False
SWKH,SC,2025-04-24,4.0,2020-01-23,2026-03-06,True
TAIT,SC,2022-05-12,0.1,2005-01-03,2026-03-06,True
TBNK,SC,2022-12-16,0.1,2009-07-13,2025-04-01,True
TCBS,SC,2025-12-02,0.03,2021-07-16,2026-03-06,True
TCPC,SC,2023-12-14,0.25,2012-04-04,2026-03-06,True
TCPC,SC,2023-09-14,0.1,2012-04-04,2026-03-06,True
TCPC,SC,2022-12-28,0.05,2012-04-04,2026-03-06,True
THFF,SC,2023-01-05,0.2,2005-01-03,2026-03-06,True
TIPT,SC,2024-12-11,0.25,2013-08-14,2026-03-06,True
TK,SC,2025-07-02,1.0,2005-01-03,2026-03-06,True
TK,SC,2024-12-04,1.0,2005-01-03,2026-03-06,True
TLF,SC,2026-02-25,0.75,2005-01-03,2026-03-06,True
TLF,SC,2025-02-19,1.5,2005-01-03,2026-03-06,True
TNP,SC,2023-10-19,0.4,2005-01-03,2024-06-28,True
TNP,SC,2020-12-15,0.125,2005-01-03,2024-06-28,True
TOPS,SC,2006-03-28,5.0,2008-01-03,2026-03-06,False
TPVG,SC,2025-12-16,0.02,2014-03-06,2026-03-06,True
TPVG,SC,2022-12-21,0.1,2014-03-06,2026-03-06,True
TSBK,SC,2022-11-09,0.1,2005-01-03,2026-03-06,True
