relative_path,column,rows,nulls,inf_rows,min,max,mean
ticker=COSM/year=2022/day_features_COSM_2022.parquet,max_future_split_factor_in_day,26,0,0,0.04,1.0,0.52
ticker=COSM/year=2022/day_features_COSM_2022.parquet,gap_open_vs_prev_close,26,1,0,-0.010000000000000009,24.528169014084504,0.9970049631752953
ticker=COSM/year=2022/day_features_COSM_2022.parquet,open_vs_prev_session_close,26,1,0,-0.010000000000000009,24.528169014084504,0.9970049631752953
ticker=COSM/year=2022/day_features_COSM_2022.parquet,open_vs_prev_session_high,26,1,0,-0.6359060402684564,13.30921052631579,0.3749096951441129
ticker=COSM/year=2022/day_features_COSM_2022.parquet,open_vs_prev_session_low,26,1,0,0.004830917874396157,36.72272924815297,3.01366610460958
ticker=COSM/year=2022/day_features_COSM_2022.parquet,multi_session_return_3d_to_open,26,3,0,-0.27083333333333337,45.94835680751173,3.877797448593413
ticker=COSM/year=2022/day_features_COSM_2022.parquet,multi_session_return_5d_to_open,26,5,0,-0.4171779141104295,36.88732394366197,6.241311942711199
ticker=COSM/year=2022/day_features_COSM_2022.parquet,distance_to_prev_day_range_center,26,1,0,-0.40536013400335014,19.5188679245283,0.7435835137994296
ticker=COSM/year=2022/day_features_COSM_2022.parquet,prev_day_range_pct_norm,26,1,0,0.0144230769230769,2.7169357530006097,0.456864513621461
ticker=COSM/year=2022/day_features_COSM_2022.parquet,range_expansion_vs_prev_day_norm,26,1,0,-0.9326553691459939,101.65173913043478,5.5112824781111165
ticker=COSM/year=2022/day_features_COSM_2022.parquet,distance_to_n_day_high_5,26,2,0,-0.7021812080536913,11.946428571428571,0.08229073497167139
ticker=COSM/year=2022/day_features_COSM_2022.parquet,distance_to_n_day_low_5,26,2,0,0.0876369327073554,65.66666666666667,12.33054009487484
ticker=COSM/year=2022/day_features_COSM_2022.parquet,realized_vol_prev_3_sessions_norm,26,1,0,0.12662056538522462,0.9522700075465517,0.32587890243079415
ticker=COSM/year=2022/day_features_COSM_2022.parquet,overnight_gap_zscore_20,26,6,0,-0.6673367557436465,9139.077130983986,456.6552434095647
ticker=COSM/year=2022/day_features_COSM_2022.parquet,year,26,0,0,2022.0,2022.0,2022.0
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,bar_count_raw,26,0,0,5.0,588.0,243.3846153846154
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,open_raw,26,0,0,0.125,0.285,0.20301538461538463
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,close_raw,26,0,0,0.125,0.25,0.19907692307692304
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,high_raw,26,0,0,0.131,0.2944,0.21623846153846155
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,low_raw,26,0,0,0.1201,0.2425,0.1906076923076923
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,cum_volume_session_raw,26,0,0,10146.0,15296504.0,2411287.730769231
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,session_vwap_raw,26,0,0,0.1266880636818495,0.24617675333192288,0.19938627701242295
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,intraday_return_since_open_raw,26,0,0,-0.14877192982456133,0.15999999999999992,-0.01461290413378248
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,session_range_pct_raw,26,0,0,0.017353579175705004,0.31520000000000004,0.1315988898314215
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,opening_drive_30m_raw,26,0,0,-0.09999999999999987,0.07025761124121788,0.002460453733641382
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,pullback_from_session_high_raw,26,0,0,-0.17595108695652173,0.0,-0.07851205089457586
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,session_vwap_distance_raw,26,0,0,-0.031230398291611672,0.03266398438506912,-0.000963911540711293
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,open_norm,26,0,0,0.202,0.3036,0.24465769230769233
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,close_norm,26,0,0,0.201,0.29,0.24062692307692307
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,high_norm,26,0,0,0.214,0.33,0.2618653846153846
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,low_norm,26,0,0,0.195,0.2602,0.22894615384615385
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,session_range_abs_norm,26,0,0,0.0040000000000000036,0.07880000000000001,0.03291923076923076
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,realized_vol_1d_norm,26,0,0,0.025262889505233452,0.4748713246378527,0.21897063348686213
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,max_future_split_factor_in_day,26,0,0,1.0,2.0,1.3076923076923077
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,gap_open_vs_prev_close,26,1,0,-0.0496664195700518,0.11764705882352922,0.008320498158416298
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,open_vs_prev_session_close,26,1,0,-0.0496664195700518,0.11764705882352922,0.008320498158416298
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,open_vs_prev_session_high,26,1,0,-0.16779891304347827,0.08778625954198449,-0.07101460956140863
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,open_vs_prev_session_low,26,1,0,0.01644444444444426,0.2124600638977634,0.05908321508739228
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,multi_session_return_3d_to_open,26,3,0,-0.11724137931034484,0.08542492294143544,-0.02199665940480853
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,multi_session_return_5d_to_open,26,5,0,-0.1289844329132691,0.06581899775617028,-0.04379892032457364
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,distance_to_prev_day_range_center,26,1,0,-0.06914893617021278,0.10251450676982587,-0.011698094503541938
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,prev_day_range_pct_norm,26,1,0,0.01724137931034484,0.27172413793103456,0.1353797574382841
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,range_expansion_vs_prev_day_norm,26,1,0,-0.9198717948717948,7.914285714285704,0.9263621123677033
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,distance_to_n_day_high_5,26,2,0,-0.24242424242424243,-0.05192307692307696,-0.16252852555455077
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,distance_to_n_day_low_5,26,2,0,0.0181975736568456,0.2073272273105744,0.07129520707439514
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,realized_vol_prev_3_sessions_norm,26,1,0,0.13545446301748493,0.35520822617503667,0.22068850234320941
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,overnight_gap_zscore_20,26,6,0,-1.6206667697118173,2.8635316404844637,-0.033515239170177354
ticker=EFSH/year=2025/day_features_EFSH_2025.parquet,year,26,0,0,2025.0,2025.0,2025.0
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,bar_count_raw,23,0,0,1.0,566.0,306.0
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,open_raw,23,0,0,27.8,61.8,44.86434782608696
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,close_raw,23,0,0,28.4,61.8,45.091313043478266
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,high_raw,23,0,0,31.9,71.6592,48.59448695652175
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,low_raw,23,0,0,26.482,54.06,41.844434782608694
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,cum_volume_session_raw,23,0,0,16.666667,1923701.6666620001,410596.2608754782
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,session_vwap_raw,23,0,0,28.5665298532859,64.7211401245612,45.349254050700026
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,intraday_return_since_open_raw,23,0,0,-0.12872400224845415,0.3508670520231214,0.012518172576558266
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,session_range_pct_raw,23,0,0,0.0,0.5231213872832368,0.15416110101249872
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,opening_drive_30m_raw,23,0,0,-0.07251264755480602,0.15323741007194247,0.010446005678218507
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,pullback_from_session_high_raw,23,0,0,-0.21210395873802668,0.0,-0.06919070910853266
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,session_vwap_distance_raw,23,0,0,-0.12764206731621153,0.11928353117652213,-0.0037772915173999648
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,open_norm,23,0,0,5.766666666666667,19.2,12.062028985507247
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,close_norm,23,0,0,7.1,19.19,12.01609130434783
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,high_norm,23,0,0,7.768999999999999,20.0,12.890965217391303
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,low_norm,23,0,0,5.503333333333334,19.19,11.232362318840577
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,session_range_abs_norm,23,0,0,0.0,3.9999999999999982,1.6586028985507242
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,realized_vol_1d_norm,23,0,0,0.0,0.2801725785056749,0.12388678832862347
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,max_future_split_factor_in_day,23,0,0,0.16666666666666666,0.5,0.29710144927536236
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,gap_open_vs_prev_close,23,1,0,-0.6666666666666667,0.04955133008064849,-0.02668507536123726
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,open_vs_prev_session_close,23,1,0,-0.6666666666666667,0.04955133008064849,-0.02668507536123726
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,open_vs_prev_session_high,23,1,0,-0.6831501831501832,0.035834266517357216,-0.09509755749003812
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,open_vs_prev_session_low,23,1,0,-0.6505050505050505,0.43549364021804937,0.053553930553025195
ticker=LIVE/year=2014/day_features_LIVE_2014.parquet,multi_session_return_3d_to_open,23,3,0,-0.6758478545999624,0.2584507042253523,-0.09897099889177581
